Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
2-December-2011,601.00,625.00,600.85,618.80,613.023263654753877275,11864,814,7272908.00,24.15,17.80
1-December-2011,619.00,621.90,596.05,605.00,608.163972177836262806,21278,1286,12940513.00,25.85,-14.00
30-November-2011,595.40,607.00,582.00,597.90,590.998964535335231685,15452,1038,9132116.00,25.00,2.50
29-November-2011,612.05,619.90,597.00,599.80,605.187651765455196847,25121,1349,15202919.00,22.90,-12.25
28-November-2011,617.15,627.00,609.00,612.70,615.941213773860105269,15769,1334,9712777.00,18.00,-4.45
25-November-2011,577.70,619.00,573.40,612.50,598.603872505212987786,16785,1477,10047566.00,45.60,34.80
24-November-2011,582.00,596.40,571.30,586.75,584.536999089253187613,17568,1152,10269146.00,25.10,4.75
23-November-2011,600.25,609.00,581.05,586.60,593.500931098696461824,12351,978,7330330.00,27.95,-13.65
22-November-2011,612.95,618.50,603.10,606.65,612.503355704697986577,7301,477,4471887.00,15.40,-6.30
21-November-2011,620.00,620.00,597.40,607.15,608.286883449031786627,13685,1205,8324406.00,22.60,-12.85
18-November-2011,609.00,624.90,593.10,620.40,603.738904341516507437,33076,1644,19969268.00,31.80,11.40
17-November-2011,635.00,654.00,611.00,621.30,633.864363168535195736,21764,1486,13795424.00,43.00,-13.70
16-November-2011,665.00,665.00,635.00,639.55,646.554524495677233429,34700,1475,22435442.00,30.00,-25.45
15-November-2011,683.00,688.80,657.25,669.60,672.751134816159782115,17624,1017,11856566.00,31.55,-13.40
14-November-2011,705.90,707.90,681.25,686.80,699.460850049095244774,35645,1290,24932282.00,26.65,-19.10
11-November-2011,702.10,702.10,681.00,698.60,694.326327602917920726,19603,923,13610879.00,21.10,-3.50
9-November-2011,708.00,718.50,699.00,702.55,709.534258506561374985,34444,2020,24439198.00,19.50,-5.45
8-November-2011,692.00,714.00,670.00,708.15,694.662661240256604814,217455,10340,151057869.00,44.00,16.15
4-November-2011,691.00,691.00,676.10,679.10,681.605297903944545304,12118,1017,8259693.00,14.90,-11.90
3-November-2011,692.00,692.00,667.00,674.45,673.385131646876613319,15496,1186,10434776.00,25.00,-17.55
2-November-2011,690.00,693.80,673.00,675.60,683.419964819700967458,18192,1349,12432776.00,20.80,-14.40
1-November-2011,740.00,740.00,687.00,690.80,697.029068090017311021,13864,1002,9663611.00,53.00,-49.20
31-October-2011,714.00,720.95,707.05,711.10,714.674936641323195945,7497,624,5357918.00,13.90,-2.90
28-October-2011,720.00,740.00,710.35,714.80,716.601761409127301841,12490,634,8950356.00,29.65,-5.20
26-October-2011,710.00,710.00,700.95,706.95,706.457436237164624047,3019,250,2132795.00,9.05,-3.05
25-October-2011,685.75,712.00,677.05,703.85,693.367101410700026616,18785,1292,13024901.00,34.95,18.10
