,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,134.58999599999999,136.630005,113.489998,125.58000200000001,120.059647,20246800
1,2016-02-01,124.389999,145.369995,108.309998,142.619995,136.35058600000002,21738500
2,2016-03-01,144.490005,160.179993,142.300003,159.509995,152.924362,15373200
3,2016-04-01,158.100006,173.479996,156.350006,169.229996,162.243088,12225800
4,2016-05-01,170.190002,193.869995,165.270004,189.03999299999998,181.235199,20578100
5,2016-06-01,189.03999299999998,192.110001,178.229996,192.0,184.457855,17399600
6,2016-07-01,191.71000700000002,206.360001,185.699997,202.649994,194.68948400000002,10642600
7,2016-08-01,199.429993,201.389999,181.630005,183.029999,175.84024,12271300
8,2016-09-01,182.619995,186.0,172.490005,179.110001,172.456207,15925000
9,2016-10-01,178.979996,186.720001,167.059998,185.380005,178.493317,15790500
10,2016-11-01,188.41000400000001,236.41000400000001,186.889999,219.44999700000002,211.29760699999997,26000500
11,2016-12-01,220.149994,233.75999500000003,218.72000099999997,221.52999900000003,213.715317,11931500
12,2017-01-01,223.49000499999997,243.979996,216.80000299999998,229.600006,221.500656,13963100
13,2017-02-01,231.289993,234.42999300000002,206.100006,215.94999700000002,208.332153,16831700
14,2017-03-01,223.020004,224.979996,201.770004,218.25,210.551025,15696200
15,2017-04-01,218.19999700000002,224.82000699999998,209.429993,220.190002,212.824722,10907900
16,2017-05-01,221.50999500000003,244.32000699999998,219.91000400000001,224.100006,216.60394300000002,13737500
17,2017-06-01,224.169998,236.850006,219.0,222.580002,215.532227,11277100
18,2017-07-01,223.66000400000001,230.36999500000002,219.19999700000002,226.42999300000002,219.260315,9182900
19,2017-08-01,223.899994,231.0,191.08999599999999,211.99000499999997,205.277573,18839400
20,2017-09-01,212.32000699999998,213.440002,194.279999,206.229996,200.11175500000002,15332200
21,2017-10-01,206.639999,219.149994,201.350006,216.850006,210.416733,10590900
22,2017-11-01,216.899994,221.16000400000001,200.270004,208.389999,202.20768700000002,11215700
23,2017-12-01,208.809998,222.44999700000002,200.699997,221.039993,214.935928,12399400
24,2018-01-01,222.61999500000002,241.330002,221.08999599999999,228.169998,221.869064,12827300
25,2018-02-01,226.580002,229.66000400000001,203.389999,203.929993,198.298462,17547600
26,2018-03-01,204.490005,212.770004,196.610001,207.300003,201.57536299999998,12581800
27,2018-04-01,205.880005,209.570007,190.360001,194.770004,189.800659,11586100
28,2018-05-01,194.809998,227.479996,189.270004,222.86999500000002,217.18370099999999,14900100
29,2018-06-01,224.100006,232.88999900000002,216.25,223.330002,218.06655899999998,11807200
30,2018-07-01,221.19999700000002,229.0,194.940002,199.419998,194.720108,13800100
31,2018-08-01,199.649994,211.289993,197.78999299999998,198.720001,194.036606,14707800
32,2018-09-01,197.46000700000002,201.449997,180.53999299999998,181.949997,178.08111599999998,12786900
33,2018-10-01,182.559998,188.71000700000002,150.75,171.279999,167.63798500000001,29011600
34,2018-11-01,171.71000700000002,199.119995,170.380005,190.690002,186.635284,21360700
35,2018-12-01,194.880005,195.630005,160.600006,171.869995,168.626694,16866800
36,2019-01-01,169.550003,183.440002,167.619995,176.679993,173.345932,14600100
37,2019-02-01,177.46000700000002,193.779999,177.16000400000001,187.800003,184.25611899999998,17289600
38,2019-03-01,188.5,203.809998,188.440002,201.179993,197.383621,12802200
39,2019-04-01,203.899994,227.17999300000002,201.570007,221.899994,218.27049300000002,12111300
40,2019-05-01,223.5,227.309998,205.020004,210.5,207.056961,12413000
41,2019-06-01,210.47000099999997,232.440002,210.47000099999997,230.11000099999998,226.85850499999998,11378400
42,2019-07-01,231.899994,252.080002,220.61000099999998,247.75,244.24923700000002,13500700
43,2019-08-01,248.11000099999998,258.369995,240.91000400000001,253.770004,250.184189,11868200
44,2019-09-01,252.86999500000002,275.98999,247.27999900000003,274.100006,270.815033,9447500
45,2019-10-01,274.410004,275.910004,256.519989,261.910004,258.77114900000004,13396100
46,2019-11-01,263.630005,273.929993,247.25,268.399994,265.18335,13345500
47,2019-12-01,268.070007,281.170013,264.109985,279.640015,276.84869399999997,9846200
48,2020-01-01,281.72000099999997,281.820007,258.690002,263.799988,261.166748,11416700
49,2020-02-01,265.72000099999997,278.390015,223.309998,227.52999900000003,225.25882000000001,13236100
50,2020-03-01,228.05000299999998,253.16000400000001,135.080002,189.229996,187.788284,23179400
51,2020-04-01,182.190002,214.5,162.029999,190.229996,188.78067,17500500
52,2020-05-01,187.550003,206.860001,151.940002,192.08999599999999,190.626495,13949800
53,2020-06-01,191.229996,230.460007,188.240005,206.570007,205.56878700000001,14709400
54,2020-07-01,208.130005,230.0,201.71000700000002,207.179993,206.175827,12950900
55,2020-08-01,208.940002,230.42999300000002,202.639999,202.869995,201.886703,10000200
56,2020-09-01,203.029999,238.63000499999998,201.03999299999998,235.36000099999998,234.864975,13796000
57,2020-10-01,237.27999900000003,277.429993,230.58999599999999,266.350006,265.789795,14966800
58,2020-11-01,269.839996,278.0,239.69999700000002,265.630005,265.07132,10854700
59,2020-12-01,270.459991,287.51001,258.179993,283.97000099999997,283.97000099999997,10663200
60,2021-01-01,284.0,319.01001,274.640015,287.410004,287.410004,13688400
